index,document
"CASE 33","98 CASE 33
A woman, apparently about 40, seen at hotel at 6 P.xt., unconscious.
Semi-dilated pupils, equal and responding to very strong light stimulus.
‘The face is pale; pulse 90, regular, small, and soft. Respiration is
shallow, with an occasional deep inspiration. Temperature normal.
No blood or froth on lips; no door to breath. No disparity between
sides of face. Limbs flaccid, but firm supraorbital pressure causes
motion in one or another extremity, so also firm pinching of leg muscles.
No reflexes, deep or superficial; no enema; no glands. Old, white,
irregular scars seen near root of nose, on forehead and right cheek.
Physical examination of thorax and abdomen negative. Urine by
catheter, 1017, acid, no albumen, no sugar.
In the absence of all friends, the housekeeper states that the patient
and her husband came there from a neighbouring town the evening
before. ‘The husband was awakened in the night by some noise to find
his wife unconscious. Later, she vomited, but she has had no convulsion as far as known, either now or previously.
1. Important causes of coma? Apoplexy (including cerebral haemorrhage, thrombosis and embolism), urmia and hepatic toxemia, diabetes, cerebral concussion and compression, syncope (fainting), poisoning by opium, alcohol, and
illuminating gas, sunstroke, epilepsy (after the seizure), hysteria.
2. What strong evidence have we against opium poisoning in this ease? The effects
of opium kill or wear off within eight hours. ‘This attack has lasted already
about eighteen hours.
3. What can be inferred from the abolition of reflexes? Any deep coma may abolish
the reflexes, hence we an infer, from this fact only that the coma is deep.
diagnosis? Prognosis? Treatment?
Diagnosis: Uremia, diabetes, and hepatic toxemia are excluded by the examination of the urine, abdomen, and breath; syncope, alcohol, and opium by the
duration of the symptoms; sunstroke, concussion, epilepsy, compression, and
gas-poisoning by the history of the case. The reflexes are never wholly
absent, but rather increased in hysteria, which is also unlikely because of the
general muscular flaccidity. Apoplexy (in the wide sense above defined) is
apparently the diagnosis. ‘The white scars on the forehead suggest injuries
from fall in epilepsy, also healed syphilitic lesions. The former explanation
is ruled out by the history; the latter gives a very natural reason for the coma
‘and for the lack of focal symptoms, which in apoplexy of syphilitic origin are
often absent.
Prognosis: The majority of such cases recover from the attack within a few
days or weeks, especially if vigorous antisyphilitic treatment is carried out.
‘Treatment: Iodine and mercury should be given subcutaneously as long as the
patient cannot swallow, later by mouth. Careful nursing is essential to prevent bed-sores."
"The patient is a man of 35, who has had fever and cough for","The patient is a man of 35, who has had fever and cough for
two weeks. At the onset he had much pain in the front and right
side of chest, near attachment of diaphragm. Had a chill on two
successive days and on the fourth day. No dyspnoea; no sputa till
sixth day, when a scanty, mucopurulent spit began and has steadily
increased in amount and grown more purulent since. The fever
has ranged from 101° to 104°, and at times there has been a good
deal of sweating and slight delirium. Has taken liquids fairly well.
Bowels are rather loose, as they have been off and on for several years.
No pain anywhere now.
‘The man is sallow, dull, and listless; tongue clean. Poorly nourished. Over lower half of right chest marked dullness, with distant
bronchial respiration and increased whisper; voice sounds nasal, especially near angle of scapula. Fremitus nearly absent. Over upper half
of lung medium moist rales were heard on the first and third days
and none on the second. Viscera otherwise negative, except slight
tenderness and fullness in the abdomen.
Sputa examined twice for bacilli; none found.
Urine high coloured, acid 1027, trace of albumen, no sugar.
Sediment: Abundant rates, leukocytes, and squamous cells. Few
hyaline and coarse granular casts.
Blood: Red 4,200,000; white 26,000; Hg. 43%.
1. What points are against the diagnosis of typhoid fever (with complications)
here? Typhoid even with lung complications usually runs its course without
Ieucocytosis. Splenic tumorand rose spots are apparently absent. ‘The Widal
reaction should be If it is absent, typhoid is unlikely.
2, Significance of nasal voice sounds? This is “egophony”” and occurs oftenest
in pleural effusion, — sometimes in solidification of the lung from any cause.
8. What further examination is essential in this case? Puncture of the chest.
4. Comment on the urinary sediment. In most fevers one sees such sediment; it
has no diagnostic value.
5. Common causes of leucocytosis? Infections, local or general, due to cocci
(strepto-, staphylo-, pneuma-, gone-, meningococei) scarlet fever and diphtheria, violent muscular exertion, some toxwmias, eg. urmia and gaspoisoning, and any acute organic brain lesion.
6. Diagnosis? Prognosis? Treatment?
Diagnosis: Phthisis, unresolved pniiemonia, abscess of the lung, empyema, or
subdiaphragmatic abscess rupturing into the lung, are the diagnoses most
deserving consideration. ‘The two negative sputum examinations make
phthisis unlikely, but do not exclude it. Unresolved pneumonia does not
produce profuse purulent sputa. ‘The signs and symptoms of the other three
lesions above mentioned are identical. Abscess of the lung is rare, and a
definite cause (such as the inhaling of food or foul material) is usually to
be found. The same is true of subdiaphragmatic abscess. Empyema not"
"‘A young man of 21 is seen January 10. At the age of twelve he had","‘A young man of 21 is seen January 10. At the age of twelve he had
very severe scarlet fever, followed by endocarditis, for the results of
which he was under medical care for about three years. Of recent
years his health has been very good and he has ridden the wheel fast
and far without inconvenience. Rather more than two months ago he
went to the doctor's office with a “cold”; temperature normal. A few
days later he returned with a temperature of 103°, and said he had had
night sweats. He was sent home, sat about the house for two days and
then took to his bed, which he has not left since. A four-hourly chart
has been kept for sixty-two days, and shows a continuous fever, ranging
from 101 to 104, usually higher in the afternoon. On the seventh and
tenth days after taking to his bed he had nosebleed. This he had
occasionally when well. Cough has been a fairly constant though not
prominent symptom, and twice has led to vomiting. ‘The bowels have
been regular with the aid of an occasional enema. Delirium has been
practically absent. early in his illness there were a few doubtful rose
spots. The spleen has never been palpable. He has once or twice
complained of some pain in his shoulders, but has had no other articular
symptoms.
‘The pulse was about 90 at first, regular, of good strength. It has
lately become irregular and rapid, some of the heart-beats not reaching
the wrist. Under digitalis, brandy, and strychnia, the pulse has improved very much and is now regular, 100. Ever since he took to his
bed he has been on an exclusive milk diet. The urine is sufficient in
quantity with a large trace of albumen, granular and hyaline casts,
specific gravity 1015.
‘The patient is pale, lies on his back, is not much emaciated, has a
clear tongue, and complains only of weakness.
On physical examination the lungs seem clear. The heart’s impulse
is in the fifth space, half an inch to the left of the nipple. A systolic
murmur is heard with maximum intensity over the impulse, transmitted
into the axilla. Inside the left nipple is a doubtful presystolie murmur.
‘The pulmonic second sound is accentuated, aortic second sound clear.
The belly is slightly distended, duller at the flanks than in the centre,
the dullness and resonance shifting somewhat with change of position.
The blood shows a moderate leucocytosis and no Widal reaction.
1. In what diseases do night sweats occur? Those producing fever, prostration,
or both: phthisis, syphilis, rheumatism, pneumonia, and typhoid (especially
in convalescence), septicaemia in all forms, alcoholism, neurasthenia, and others.
jficance of the cough in this ease? The common causes of cough are (a)
irritations of the upper air passages; (b) any disease of the lungs; and (c) any.

106 CASE 40—Continued
disease of the heart that produces pulmonary stasis. In this ease there are
no evidences of (a) or of (6). Hence we fall back on (c) pulmonary stasis due
to the heart lesion above described.
3, How is your diagnosis affected by the third (short) paragraph printed above?
Doctors sometimes conclude from such evidence that no serious disease is
present. This conclusion, however, is quite unjustifiable when the physical
signs belie it. Hence the importance of accurate and thorough physical
examination.
4, Name three common fevers which may run for weeks without touching normal?
© Typhoid, tuberculosis, septicaemia (with or without septic endocarditis).
5. What further valuable evidence might be obtained from the blood? Blood
cultures should be made.
6. Why is the specific gravity of the urine so low? Exclusive and profuse milk
diet.
7. If the spleen had become palpable, how should the diagnosis have been modified?
Not at all, since all the diseases to be considered here may produce splenic
enlargement.
‘8. What further symptoms might appear which would clinch the diagnosis? Evidence of embolism, commonest in the spleen and kidney, rarer in brain,
s, or subcutaneous tissues.
2 Prognosis? Treatment?
Diagnosis: Typhoid after sixty-two days of fever is almost sure to show a Widal
reaction and no leucocytosis, Tuberculosis of this duration should show
more evidence of cerebral, pulmonary, or other local lesions. Pure tuberculous peritonitis would produce the abdominal signs here described, but
rarely if ever produces such fever and would not account for the cardiac signs.
Septicemia with septic endocarditis will account for all the facts of the case.
‘The ascites was apparently due (like the cough) to heart weakness. ‘The
acute mitral endocarditis was proved at autopsy to be engrafted (as the previous history suggests) upon an old process of like nature. Multiple embolic
infarction of the spleen and kidney were present.
Prognosis: Recovery has certainly occurred in cases of septic endocarditis;* and
in the milder forms of this disease is probably not at all uncommon. Even
in cases as severe as this it is possible but not likely. In any event the course
is likely to be many months.
‘Treatment: If blood cultures reveal a pathogenic organism, an appropriate
antibacterial serum should be tried. Otherwise the treatment is purely
supportive and symptomatic.
* Sce Herrick: “ Transactions
ofthe Association of American Physicians, 1902""; page 468."
"Acheavy middle-aged woman “took cold” on Saturday and was","Acheavy middle-aged woman “took cold” on Saturday and was
afterwards distressed for breath. She was seen on Tuesday evening
sitting up, breathing with some difficulty and with a wheeze, chiefly
with expiration. The face was red but not livid. She complained
of pain at the top of the sternum and side of the throat. ‘There was
expectoration of white frothy mucus and some tough brown masses.
‘The voice was suppressed. ‘The tonsils were not swollen, there was
no exudation in the pharynx, and the epiglottis was not swollen. ‘The
pulse was rapid. ‘The physical signs were negative with the exception
of prolonged expiration. ‘Temperature 99.9°.
1. (@) What are the commonest causes of pain referred to the sternum? (6) of
sore throat? (a) Tracheitis, asthma, weakened or embarrassed heart, aneurysm, mediastinal tutors. (6) Pharyngitis, tonsillitis, tonsillar abscess.
. In what diseases do patients wheeze? Asthma, emphysema, some cases of
bronchitis, bronchial or tracheal stenosis from cicatrix (syphilis), or from
pressure (aneurysm or tutor).
8. Significance of inspiratory and of expiratory dyspnoea? Inspiratory dyspnoea
‘means obstruction in the upper air passages (“croup,” diphtheria, quincy,
post-pharyngeal abscess, foreign bodies in the larynx. Ezpiratory dyspnoea
is seen chiefly in asthma and emphysema. Mixed forms occur in other
diseases of the lungs and of the heart.
|. How might blood examination help in the diagnosis of this case? ‘The absence
of leucocytosis would help to exclude pnitemonia.
5. What should you expect to find in the sputum? Nothing of any diagnostic
significance. (Important sputum findings in other eases may here be discussed.)
6. Diagnosis? Prognosis? ‘Treatment?
gnosis: Laryngeal diphtheria, acute laryngitis with tracheitis and at
Ludwig's angina, aneurysm, and “central’” pneumonia are the most. important
possibilities. ‘The temperature and the absence of any physical signs on
the fourth day make pneumonia very unlikely. (This opinion was later
‘confirmed by the finding of a normal leukocyte count, —a fact which helped
to exclude diphtheria and deep cervical abscess.) Ludwig's angina produces
tenderness and swelling (as well as pain) at the side of the neck and throat.
Fever and leucocytosis would be high. Laryngeal diphtheria was excluded
by laryngoscopic examination, which also demonstrated the presence of acute
laryngitis and tracheitis. ‘The piping rales of asthma appeared a few hours
later (they are often veryfugitive), and this, with the negative results of urinary
‘examination, confirmed the diagnosis of bronchial asthma. ‘The tough brown
masses appeared to come from the region of the tracheal bifurcation.
Prognosis: She should be well within a week. Such attacks often recur but
are never serious.
‘Treatment: Hot steam (with or without tincture of benzoin) inhaled every
few hours from a large pitcher of hot water will give some relief. Heroin,
gr. zs every five hours, will help the cough. Bed and a diet according to her
digestive power are the only further treatment needed."
"Arather nervous gentleman, 43 years old, both of whose parents died","Arather nervous gentleman, 43 years old, both of whose parents died
‘of cancer, moved from the city to the country about a year before his
present illness began, and became quite active out doors, with benefit
to his appetite and general health. The winter snows, however, forced
him to be more sedentary. When first seen in consultation with the
family physician, who had been called only four days before, he complained of obstinate constipation. For six weeks he had had darting
pains in the lower abdomen, worse at night, but relieved by walking.
The physician had first prescribed a laxative pill, which caused
pain but no dejection. The next night he sat bending forward in
pain most of the night, getting relief from an hypodermic of one
quarter grain of morphia, twice repeated, which was followed by a
focal discharge. The bowels were soft, except for resistance corresponding to the ascending and transverse colon. The next night he
had an ounce each of glycerine and castor oil, but was worse the
following day. Some flatus escaped on the day of the consultation,
but no focal matter had come away for at least four days. ‘The
temperature had remained normal. ‘There was no vomiting.
Physical examination showed a spare man, with an anxious face.
Rectal examination was negative. The abdomen was distended with
gas and somewhat tense, but nowhere especially tender. When the
patient’s attention was diverted, the resistance already described could
be felt. The pulse was not remarkable at first, but after the examination it became rapid and feeble, improving again after little brandy.
1. What special significance has the effect of the morphia in this case? When
morphia produces a focal movement it does so by relieving spasm. Such
spasm is apt to occur above a stricture (cancerous or other) of the gut.
2. What can be inferred from the rectal examination here? ‘That there is no ob
striction within reach of the examiner's finger.
3. How do you interpret the absence of vomiting? ‘The obstruction is not complete (gas passes) and is probably low down in the large gut.
4, Why were his pains relieved by walking? The element of spasm above mentioned may have been helped by walking, as any form of constipation may be.
diagnosis? Prognosis? Treatment?
Diagnosis: Gradually increasing constipation, leading finally to complete stoppage of focal movements, with abdominal distention, pain, and a pulse that
easily becomes rapid and feeble, all point to intestinal obstruction, apparently
in the region of the splenic flexure of the colon, behind which fees are
accumulated. At his age, and in the absence of any history of previous
peritonitis or laparotomy, cancer of the bowel is the commonest cause.
Prognosis: Grave; operation may relieve, but early recurrence is the rule.
‘Treatment: Immediate laparotomy, artificial anus; later an attempt to ex
tirpate the growth."
"‘A business man of 26, of good family history, habits, and previous","‘A business man of 26, of good family history, habits, and previous
health, is seen in November, 1900. In the latter part of July, after golf,
which he plays with the left hand down, he suffered during part of the
night from severe pain throughout the left arm. A month later he had
a similar attack, not following golf, and the pain then recurred nightly
after 1 a.m. During the daytime the pain was only occasional. About
eight weeks ago he began to have “indigestion” —i.e., a sensation as if
food was arrested on its way to the stomach, which, apparently, managed it well enough after its arrival. About two weeks later dry, harassing cough came on, troubling him most when on his back or right side,
but also excited by taking food. Soon after this he noticed that the
veins in his neck swelled up when he stooped over, and he had to have his
head higher at night. Lately he has had severe night sweats. Pain, esp~
cially in his left arm, dysphagia, and dry cough are now the most prominent symptoms. There has been some loss of weight, more of strength.
He is pale, nervous, and excited. The pulse and respiration are
normal in the erect position. Lying down causes marked dyspnoea.
Toward the root of the neck on the left side discreet, non-tender lumps
can be felt, without attachment to or reddening of the skin, Percussion is dull over the upper sternum, without prominence or pulsation.
‘The radials are synchronous and equal in volume; the pupils are equal;
there is no tracheal tug. ‘Thoracic and abdominal exploration is other
wise negative. So also the urine. The axillary and inguinal glands
are not enlarged. Hemoglobin 70 %; reds 4} million; whites 22,300.
1, What is the significance of pain which is worse at night? Congestive pain, such
as that of toothache, of certain headaches and of syphilitic periostitis, is
increased by a position that brings more blood to the part. Any relatively
mild pain is felt more severely at night because of the absence of distraction.
2. What temperature should you expect in this case? Slight, irregular fever.
3. What importance has the age of this patient? Cancer and aneurysm are unlikely at twenty-six.
4. Diagnosis? Prognosis? ‘Treatment?
Diagnosis: Pain in the left arm, dysphagia, dyspnoea, dry cough, lumps in the
neck, dullness behind the sternum, marked increase of leukocytes, are the important data here, and all suggest aneurysm or mediastinal tutor. Aneurism
is rare at 26 years and does not produce leucocytosis or lumps in the neck.
Hodgkins disease and leucwemia are identical but for the blood. In this ease
the blood showed lymphocytes 65.2%, polynuclear 34% eosinophils and
myelocytes each 4%. Lymphatic leucemia is accordingly the diagnosis.
Prognosis: Cases with fever usually run a short course
— six months or less.
‘Treatment: X-ray exposures may diminish the size of glands and possibly prolong life. Daily exposure of five to ten minutes over the sternum and
neck with a hard tube should be continued until there is the faintest suggestion of burn. ‘Then the spleen and long bones may be exposed."
"CASE 44","14 CASE 44
‘A woman of 35, married ten years, five children. Has had considerable womb trouble and been treated for it by local physician. Of
late, it has been less troublesome. Father died of cancer, mother of
“q decline.” For a year has had much to worry her, and has been
running down and getting nervous. Is troubled with sour eructations
after meals, especially in the morning. Bowels rather costive. Appetite as good as usual. Lost no flesh. Occasional severe headache,
frontal and occipital. Sleeps poorly. “Hot flushes” frequent. For
the last day or two (since coming to Boston) has been vomiting a good
deal of greenish stuff.
When seen, was drawn and pinched in the face and nauseated.
Complained of general abdominal pain, but no tenderness could be
found, and physical examination was negative except a sharply accented
aortic second sound. At times she was quite hysterical, after which
she passed a large amount of pale urine. Very nervous, restless, and
alarmed about herself. No fever; pulse 110. Complained at times
of headache. Knee-jerks lively; no clonus. Uterus retroflexed and
bound down with adhesion.
Diagnosis: Increasing nervousness and debility for a year, headaches, dyspepsia,
and vomiting, might all be explained as the common portion of hysterical
women at this age. ‘The association of headache and vomiting (‘“sick headache”) suggests migraine, and the condition of the uterus might be thought of
as helping, together with dyspepsia and constipation, to explain these headaches. Such was in fact the diagnosis made in this case, and thereby a serious
mistake was made. ‘The woman died in three days of urmia, ‘The urine
by some accident was not examined, but even without that the sharply
accented aortic second sound should, at her age, have suggested nephritis.
At autopsy secondary contracted kidneys were found.
In this case the hysterical symptoms so impressed themselves on us, that we neglected a thorough search for organic disease. It is important to remember
that the combination of headache and vomiting may mean either a common
“sick headache”” or a dangerous urmia. Organic brain disease, tutor,
abscess, meningitis, are also possible, but there were no focal symptoms or
choked disk in this case. ‘The high tension pulse, sharp aortic second, and
abundant pale urine pointed straight to the diagnosis, had we not been blind,
to it.* The uterine condition in this, as in many other cases, produced no
symptoms and had nothing to do with the case. Much harm is often done
by treating such lesions as disease, instead of letting them alone.
Prognosis: In such a ease, by vigorous depletion (including perhaps venesection)
urmia may perhaps be staved off for weeks or even months.
Treatment: Bleeding and saline transfusion should be tried at once. Next
day purgation concentrated magnetic sulphate, followed on the day
after by a sweat bath. Whichever method produces the best results should
be repeated from time to time. It often works well to sweat and purge on
alternate days. Milk diet for a few days is best.
* See also Case 71."
"‘A washerwoman, 68 years old, generally healthy, has been feeling","‘A washerwoman, 68 years old, generally healthy, has been feeling
poorly for a month and losing appetite. A week ago began to have
pain in abdomen; at first all over, but later settling in the lower left
comer. It is worse when she walks, but has not kept her awake until
last night. She has always been constipated, and the bowels have
not moved for two days; has eaten little for two days.
Examination: Emaciated, sallow, tongue coated, breath offensive.
Temporal arteries stiff and tortuous. Heart dullness reaches to the right
eternal border and up to the second rib. Apex just below the fifth robin
the nipple line. At the ensiform cartilage, a short murmur replacing the
second heart sound and heard less distinctly elsewhere. First sound
at the apex very short; heart’s action somewhat irregular. Few moist
rales at bases of both lungs, with slight dullness and diminished breathing over lower half of left back; voice sounds normal, tactile fremitus
diminished. Abdomen slightly distended; tender in left ilia fossa,
where a deep resistance is felt, but no tutor. Liver dullness from
seventh rib to rib margin. Right kidney palpable. Urine normal color;
acid, 1017; trace of albumen; no sugar. Sediment: pus, squamous,
and spindle cells, callie oxalate and mucus. Knee-jerks not obtained.
‘Temperature, 102° at entrance to the hospital, normal next day. Pulse
100. Anenema brought away a small movement, very dark in color.
1. What is the significance of tortuous temporal arteries? Nothing, unless they
are also rough and hard. All temporal arteries are tortuous.
2. How do you interpret the dimensions of the heart in this ease? They are normal.
3. How do you explain the murmur? If the pulse is collapsing the murmur is
probably due to aortic regurgitation.
4, How does the significance of arrhythmia in aortic regurgitation differ from its
significance in mitral stenosis? It is much more serious in aortic disease.
Mitral arrhythmia is consistent with years of fair health.
5. Name three common causes of cardiac athythmia? Myocardial weakness,
mitral disease, tobacco.
6. What sort of pulse should you expect in this case? A collapsing pulse.
7. How much an be inferred from the pulmonary signs here described? CSdema
of the lungs with right hydrothorax.
8. How do you explain the area of liver dullness here given? Senile emphysema.
9. What does the ealcic oxalate mean here? Nothing, —as is usually the ease.
10. How is the temperature accounted for? ‘The fatigue and emotion strain of
entering the hospital.
11. Diagnosis? Prognosis? Treatment?
Diagnosis: A high enema brought away an enormous amount of fees with
great relief to all symptoms. Fecal impaction and arterio-sclerosis seemed
to account for all the facts in her case. Sigmoid cancer was excluded by
the course of the case.
Prognosis and Treatment: By regular enemata the recurrence of impaction an
probably be prevented."
"A banker, 58 years old, of good family and previous history, of good","A banker, 58 years old, of good family and previous history, of good
habits except for very rapid eating, is seen May Ist. About a year ago
his remaining teeth, which were few and inefficient, were extracted.
False teeth were procured, but he has not been able to wear them on.
account of sore mouth, apparently subjective rather than objective.
His wife states that for at least a year he has not been as vigorous as
formerly. He says that during the summer his sleep was poor, without
apparent cause. In June he took a vacation, but returned weaker than
when he went, complaining of poor appetite and digestion, nausea and
occasional vomiting. The vomits was not characteristic. He did not
gain in the summer and his complexion became sallow. November 15th,
after drinking moderately of cider, diarrhoea came on; and between
this date and February he lost fifty-one pounds in weight. Soon after
this the diarrhoea was checked, and since the last of February loss in
weight has been trifling, though his color and strength have continued
to fail. His digestion is better, and he takes a fair amount of food.
His main complaint at present is of weakness, lassitude, and shortness
of breath on slight exertion. No fever has been noted. Several examinations of the urine have been made, all negative until a week ago
when a single specimen showed sp. gr. 1008, albumen 345%, some pus—
not enough, it was thought, to count for the albumen—and a few
hyaline casts. ‘The twenty-four hour amount is not known, but is
believed by the attending physician to be increased. Pulse 84, regular, feeble, and of low tension. Temperature 99.6°. Marked pallor of
skin and mucous membranes, with a yellowish tinge. Soft systolic
murmurs are heard in the mitral and pulmonic areas; the heart is not
enlarged. There is slight oedema of the ankles. Visceral examination
is otherwise negative.
1. What chronic diseases are most prone to appear at 58? Cancer, arterio-sclerosis and its results
2. What seems to account for the diarrhoea? (See diagnosis.)
8. What is the significance of a urine of low specific gravity? Profuse ingestion of
fluid, nervousness, chronic interstitial nephritis, diabetes insipidus.
4. Diagnosis? Prognosis? ‘Treatment?
Diagnosis: Yellowish pallor, weakness, and dyspnoea, with no obvious disease of
the heart or lungs, suggest grave anaemia. The urinary abnormalities are
too recent to account for the symptoms. Gastro-intestinal symptoms such
as are described often occur in anaemia. ‘The cider had probably no effect.
Blood examination revealed typical pernicious anaemia.
Prognosis and Treatment. (See above, Case 4.)"
"A merchant, aged 35, is seen March 30. Has never been very rugged.","A merchant, aged 35, is seen March 30. Has never been very rugged.
Last summer had a cough which persisted until he went to the mountains. Lately has felt rather better than usual. On the evening of
March 28 attended an elaborate dinner. Shortly after returning home,
he had a chill and began to vomit, lobster and mushrooms being noted
in the vomits. On the morning of the 29th he complained of nausea
and violent headache. Temperature 101°, pulse 96. Toward noon he
began to grow stupid and within an hour could not be roused. ‘The
respiration became rhythmical with occasional intervals of apnoea lasting
twenty-five seconds. ‘The pulse also was rhythmical, varying from 38
to 108 as extreme limits, the lower rate corresponding to the periods
of apnoea. On the morning of the 30th he had regained consciousness
but was still dull. Headache much better. Temperature normal,
pulse and respiration showed a hardly noticeable rhythm. Vomiting
had not occurred since eleven o'clock the preceding day. He remained
dull, but could be roused to take interest in his surroundings. Is
constantly tossing about the bed. At five o’clock in the afternoon,
his physician noticed that he was absolutely deaf. Examination of
ears negative. He replied intelligently but slowly to written questions, but appeared to have some difficulty in seeing them. For the
past twenty-four hours he has required eatheterization. Temperature
98°, pulse 72, respiration 24.
Physical examination shows a pale but fairly well nourished man.
Pupils contracted and unresponsive to light. Head moves freely except
forward, in which direction motion seems slightly restricted. Examination of chest and abdomen negative except for a slight systolic murmur
over the pulmonic area. Knee-jerks lively, but equal. No Babinski,
no ankle clonus. Patient apparently has full control of all his muscles.
White cells 16,000. Urine high-coloured, sp. gr. 1024, acid, very slight
trace of albumen, few hyaline and fine granular casts, no sugar. Amount
in past twenty-four hours, 32 oz.
1. What is the significance of rhythmic changes in pulse and respiration? CheyneStokes breathing.
2. How do you explain the cough of the previous summer? It may have been
due to tuberculosis or simply to bronchitis.
3. What was the use of asking him to answer written questions? To test his
celebration.
4. Diagnosis? Prognosis? Treatment?
Diagnosis: Ptomaine poisoning, urmia, and meningitis should be considered.
‘The first two do not stiffen the neck or produce deafness. ‘The urineis not
characteristic of any type of nephritis. The blood and urine are consistent
with any of the diagnoses considered. In favor of meningitis are the are-"
"A married lady of 62 is seen March 1. The family and previous","A married lady of 62 is seen March 1. The family and previous
histories are good. Three years ago the left breast was removed by a
competent surgeon for cancer. Since then her health has been good
until December 15, 1902, when, for failing eyesight, she consulted an
oculist, who found detachment of the retina in the left eye.
About January 1, she noticed that she was short of breath. After
this she kept very quiet as exertion brought on dyspnoea. Dyspnea
has continued her main complaint, brought on by exertion, but, especially of late, often waking her from sleep. About two weeks ago she
could lie on the right better than on the left side; since then there has
been orthopnea. She has slight dry cough, no pain, fever, or vomiting. Bowels regular. ‘The appetite is poor. Loss of weight has not
been marked. ‘The pulse is 112, regular. ‘The right chest is dull on
percussion above, flat below, with feeble respiration, diminished voice
sounds, and fremitus. There is puerile breathing over the left lung,
and a few fine rales in the fifth interspace in front. ‘The heart's impulse
is in the sixth space, anterior axillary line. ‘The sounds are clear. The
abdomen is negative; the urine, 1016-1018 in specific gravity, contains
neither albumen nor sugar; the amount is not known, but thought to
be normal for one in her condition. ‘There is no enema.
1, Name the most important causes of dyspnara. Cardiac weakness, emphysema,
pleural effusion, pneumonia.
2. (@) Significance of orthopncea? (b) In what diseases does it most often occur?
(a) Orthopnea means dyspnoea so great that lying down causes distress.
(0) It is oftenest seen in the diseases mentioned above.
3. Causes of displacement of the apex impulse? Cardiac hypertrophy or dilate
ion, pressure of pleural effusion or of subdiaphragmatic tutors, contraction
of a diseased lung with pleural and pericardial adhesion, situs inverses.
4. At what ageispleural effusion most common? Under 40.
5. Why does she prefer to lie upon the right side? Because that frees the left
lung for breathing, the right being embarrassed by hydrothorax.
6. What symptoms are likely to develop later in the course of this case? Pain,
‘oedema of the right arm and of the adjacent parts.
7. Diagnosis? Prognosis? Treatment?
Diagnosis: Evidence of pleural effusion coming on in an elderly woman whose
breast has been removed for cancer suggests at once a cancerous metastasis
at the root of the lung. A simple pleuritic effusion might develop at this
age, but is rare. Hydrothorax is ruled out by the absence of notable cardiac
weakness. Paracentesis will probably decide the diagnosis by revealing a
heavy bloody fluid such as is common only in cancerous effusions.
Prognosis: The outlook is hopeless and life cannot be prolonged many months.
‘Treatment: Temporary relief can be given by tapping the chest whenever
dyspnoea becomes urgent. Otherwise the treatment is wholly symptomatic."
"A shoemaker of 24, who has previously been well, has noted for six","A shoemaker of 24, who has previously been well, has noted for six
months, gradually increasing weakness of the legs. He dates the trouble
from fall from a horse car six monthsbefore, when he struck violently
upon his knees and fell several times more on his way home. Kept at
work till three months ago, when he took a three weeks’ vacation and
improved considerably; but, on returning, found himself unable to
work more than half a day.
‘Two months ago the hands and arms began to get weak and numb,
and now he can’t button his collar. ‘The hands feel rather better when
he stirs about and uses them. For the past week has felt as if something were tied tightly about his waist. In other respects he feels perfectly well. He has never used alcohol and denies venereal disease.
Examination: Pupils equal and react normally. Soft systolic
murmur at the apex, transmitted two inches to the left. Pulmonie
second decidedly louder than aortic. No evidences of cardiac enlargement. Chest and belly otherwise negative. Deep tenderness over
calves, thighs, and buttocks. Knee-jerks absent, muscular power feeble,
sensation perfect, moderate general atrophy. Faradie irritability of the
muscles impaired in both arms and legs. Galvanic irritability normal.
‘At times the tips of the fingers sweat profusely.
When seen his temperature was 99.8°, pulse 120, respiration 24.
1. What can be inferred from the mode of onset here? The fall was not the cause
but only the first manifestation of his trouble.
2. What can be inferred from the atrophy? It indicates neuritis, not takes.
3. Causes and types of atrophy? Disuse, neuritis, progressive muscular atrophy,
chronic joint disease, poliomyelitis anterior, amyotrophic lateral sclerosis.
4, Causes of muscular tenderness? Neuritis, myosotis (e.g., trichiniasis), oedema,
or inflammation of neighbouring tissues.
5. What other types of tenderness are there? Cutaneous hyperesthesia, serous
membrane hyperesthesia (as in appendicitis and other abdominal lesions),
bone tenderness, as in periostitis, nerve tenderness, as in neuritis.
6. What do (a) the electrical reactions in this ease teach? (b) the sweating fingers?
(a) typical action of degeneration is absent. (b) vasomotor changes.
7. Diagnosis? Prognosis? ‘Treatment?
Diagnosis: Muscular weakness and tenderness with absent knee-jerks, atrophy,
and partial reaction of degeneration, all suggest neuritis. In takes, there is
no tenderness and muscular power is good. In progressive muscular atrophy
the knee-jerk is not lost so early and sensory symptoms are usually absent.
‘The slight fever points towards neuritis, likewise the vasomotor symptoms.
‘The cause of the neuritis cannot be guessed from the data before us.
Prognosis: Recovery will probably be complete if the cause of the neuritis is
removed, but it will be slow and will take many months.
‘Treatment: Nourish the muscles and the skin by massage, hydrotherapy and
electricity. The patient should do such work as he can painlessly. If any
cause for the neuritis can be found (lead, arsenic), it should be removed."
